nvda_high,nvda_low,nvda_open,nvda_close,intel_high,intel_low,intel_close,amd_high,amd_low,amd_close,qcom_high,qcom_low,qcom_close,google_high,google_low,google_close,nvda_high,intel_open,amd_open,qcom_open,google_open,NVDA_RSI,NVDA_BBB_5_2.0,NVDA_VWAP,Year,CPIAUCNS,GDP,Basic Average Shares,Cost Of Revenue,Interest Expense,Other Income Expense,Reconciled Depreciation,Selling General And Administration,Accumulated Depreciation,Buildings And Improvements,Cash And Cash Equivalents,Current Liabilities,Gains Losses Not Affecting Retained Earnings,Long Term Debt,Non Current Prepaid Assets,Other Properties,Tradeand Other Payables Non Current,Cash Dividends Paid,Change In Prepaid Assets,Changes In Cash,Common Stock Dividend Paid,Income Tax Paid Supplemental Data,Sale Of Investment,price_change_percentage,Datetime
-0.915873356,-0.917921119,13.8375,13.8826248,0.934628791,0.920354761,0.938577709,-0.640173674,-0.674775766,-0.691137297,-0.356585086,-0.382113571,-0.404917617,-2.085541722,-2.125023934,-2.102358947,-0.915873356,0.913172929,-0.675317331,-0.40231281,-2.135383659,-1.195104476,-0.20102921,-1.378993555,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,-0.668698551,10/15/2020 13:30
-0.921019042,-0.915640436,13.8782501,13.9125,0.963599066,0.951187138,0.967955308,-0.693255588,-0.695788548,-0.681390902,-0.39760115,-0.407821095,-0.38847857,-2.103293013,-2.106505543,-2.099841203,-0.921019042,0.938476733,-0.69139675,-0.40469961,-2.104204103,-1.031605654,-0.029568508,-1.381971753,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.069581617,10/15/2020 14:30
-0.917018899,-0.909694383,13.9162506,13.87050018,0.95999573,0.972951195,0.959367945,-0.689371698,-0.673900371,-0.694213723,-0.381299756,-0.371982432,-0.390599811,-2.103663371,-2.100191109,-2.116432697,-0.917018899,0.96784752,-0.680967028,-0.387994128,-2.096469037,-1.164099929,0.069421023,-1.383700814,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.063440308,10/15/2020 15:30
-0.92469612,-0.913767046,13.87100065,13.825,0.968103033,0.974764949,0.979254349,-0.713968531,-0.693599599,-0.709343526,-0.370783055,-0.362354052,-0.386357329,-2.128390691,-2.109132104,-2.126053317,-0.92469612,0.959262149,-0.694004071,-0.390645934,-2.116177931,-1.302093354,-0.173810529,-1.385747263,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,-0.114461471,10/15/2020 16:30
-0.921584663,-0.913787429,13.82799988,13.91499937,0.981164888,0.996982241,0.997332906,-0.709653376,-0.690754049,-0.691384972,-0.370783055,-0.358609756,-0.342342997,-2.128311189,-2.106797346,-2.114524166,-0.921584663,0.979143942,-0.709718447,-0.387994128,-2.125529213,-0.801374557,-0.814970723,-1.38715504,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,-0.109960483,10/15/2020 17:30
-0.915241028,-0.909857077,13.91725005,14.00050048,0.999631341,1.010131304,1.01721931,-0.698433662,-0.682651176,-0.680526343,-0.341335956,-0.340422704,-0.317100171,-2.107131671,-2.105165705,-2.088788943,-0.915241028,0.997218307,-0.69139675,-0.343446247,-2.114668107,-0.391207837,-0.539960948,-1.388438085,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.173815022,10/15/2020 18:30
-0.915261251,-0.902261724,13.9994995,13.96999968,1.0050363,1.026000773,1.014507269,-0.696707522,-0.671711421,-0.686174937,-0.334237392,-0.323840693,-0.333327206,-2.103293013,-2.093611428,-2.108507721,-0.915261251,1.0171001,-0.680532366,-0.317460637,-2.087740248,-0.509078714,-0.477078235,-1.389310673,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.157645244,10/15/2020 19:30
-0.906574128,-0.898779427,14.03674925,14.05200043,1.048221288,1.036429521,1.066482951,-0.671679381,-0.685719855,-0.677919327,-0.278760543,-0.30832304,-0.31052486,-2.068955472,-2.081168134,-2.056639975,-0.906574128,1.0171001,-0.669233319,-0.275034127,-2.096018579,-0.141135966,-0.328682849,-1.390134952,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.061143166,10/16/2020 13:30
-0.910503371,-0.914235363,14.0550003,13.8607498,1.068093187,1.067261807,1.056991846,-0.68160422,-0.696226093,-0.709638911,-0.305579058,-0.349783737,-0.370968163,-2.068823296,-2.077559933,-2.079645213,-0.910503371,1.066804266,-0.678142158,-0.309181506,-2.054083982,-0.811856778,-0.451342763,-1.392230734,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,0.020733004,10/16/2020 14:30
-0.921665553,-0.911439136,13.85625,13.91049955,1.067192196,1.07134237,1.08546525,-0.711379516,-0.690535298,-0.696603263,-0.345017278,-0.345269336,-0.31932779,-2.081213132,-2.063737291,-2.070633809,-0.921665553,1.056863415,-0.71008349,-0.372614523,-2.078879199,-0.598913561,-0.444481403,-1.393491548,-2.011415697,-0.305081386,-0.436437046,-0.299454464,0.048766444,0.173050983,0.198632921,-0.411781137,-0.393200334,-0.424106989,0.424106989,0.102122366,0.34070619,0.046645622,-0.24355193,0.276806701,0.17640183,0.367817774,-0.433867569,-0.187201541,-0.005240358,0.365208985,-0.397714694,0.035380292,-0.437886527,10/16/2020 15:30
